SA2_MAINCODE_2016	SA2_NAME_2016	PHN_CODE_2017	PHN_NAME_2017	RATIO	PERCENTAGE
					
101021007	Braidwood	PHN106	South Eastern NSW	1	100
101021008	Karabar	PHN106	South Eastern NSW	1	100
101021009	Queanbeyan	PHN106	South Eastern NSW	1	100
101021010	Queanbeyan - East	PHN106	South Eastern NSW	1	100
101021011	Queanbeyan Region	PHN106	South Eastern NSW	1	100
101021012	Queanbeyan West - Jerrabomberra	PHN106	South Eastern NSW	1	100
101031013	Bombala	PHN106	South Eastern NSW	1	100
101031014	Cooma	PHN106	South Eastern NSW	1	100
101031015	Cooma Region	PHN106	South Eastern NSW	1	100
101031016	Jindabyne - Berridale	PHN106	South Eastern NSW	1	100
101041017	Batemans Bay	PHN106	South Eastern NSW	1	100
101041018	Batemans Bay - South	PHN106	South Eastern NSW	1	100
101041019	Bega - Tathra	PHN106	South Eastern NSW	1	100
101041020	Bega-Eden Hinterland	PHN106	South Eastern NSW	1	100
101041021	Broulee - Tomakin	PHN106	South Eastern NSW	1	100
101041022	Deua - Wadbilliga	PHN106	South Eastern NSW	1	100
101041023	Eden	PHN106	South Eastern NSW	1	100
101041024	Eurobodalla Hinterland	PHN106	South Eastern NSW	1	100
101041025	Merimbula - Tura Beach	PHN106	South Eastern NSW	1	100
101041026	Moruya - Tuross Head	PHN106	South Eastern NSW	1	100
101041027	Narooma - Bermagui	PHN106	South Eastern NSW	1	100
101051539	Goulburn	PHN106	South Eastern NSW	1	100
101051540	Goulburn Region	PHN105	South Western Sydney	0.0004746	0.0474572
101051540	Goulburn Region	PHN106	South Eastern NSW	0.9995254	99.9525428
101061541	Yass	PHN106	South Eastern NSW	1	100
101061542	Yass Region	PHN106	South Eastern NSW	0.9508311	95.0831107
101061542	Yass Region	PHN110	Murrumbidgee	0.0491689	4.9168893
101061543	Young	PHN110	Murrumbidgee	1	100
101061544	Young Region	PHN110	Murrumbidgee	1	100
102011028	Avoca Beach - Copacabana	PHN108	Hunter New England and Central Coast	1	100
102011029	Box Head - MacMasters Beach	PHN108	Hunter New England and Central Coast	1	100
102011030	Calga - Kulnura	PHN108	Hunter New England and Central Coast	1	100
102011031	Erina - Green Point	PHN108	Hunter New England and Central Coast	1	100
102011032	Gosford - Springfield	PHN108	Hunter New England and Central Coast	1	100
102011033	Kariong	PHN108	Hunter New England and Central Coast	1	100
102011034	Kincumber - Picketts Valley	PHN108	Hunter New England and Central Coast	1	100
102011035	Narara	PHN108	Hunter New England and Central Coast	1	100
102011036	Niagara Park - Lisarow	PHN108	Hunter New England and Central Coast	1	100
102011037	Point Clare - Koolewong	PHN108	Hunter New England and Central Coast	1	100
102011038	Saratoga - Davistown	PHN108	Hunter New England and Central Coast	1	100
102011039	Terrigal - North Avoca	PHN108	Hunter New England and Central Coast	1	100
102011040	Umina - Booker Bay - Patonga	PHN108	Hunter New England and Central Coast	1	100
102011041	Wamberal - Forresters Beach	PHN108	Hunter New England and Central Coast	1	100
102011042	Woy Woy - Blackwall	PHN108	Hunter New England and Central Coast	1	100
102011043	Wyoming	PHN108	Hunter New England and Central Coast	1	100
102021044	Bateau Bay - Killarney Vale	PHN108	Hunter New England and Central Coast	1	100
102021045	Blue Haven - San Remo	PHN108	Hunter New England and Central Coast	1	100
102021046	Budgewoi - Buff Point - Halekulani	PHN108	Hunter New England and Central Coast	1	100
102021047	Chittaway Bay - Tumbi Umbi	PHN108	Hunter New England and Central Coast	1	100
102021048	Gorokan - Kanwal - Charmhaven	PHN108	Hunter New England and Central Coast	1	100
102021049	Jilliby - Yarramalong	PHN108	Hunter New England and Central Coast	1	100
102021050	Lake Munmorah - Mannering Park	PHN108	Hunter New England and Central Coast	1	100
102021051	Ourimbah - Fountaindale	PHN108	Hunter New England and Central Coast	1	100
102021052	Summerland Point - Gwandalan	PHN108	Hunter New England and Central Coast	1	100
102021053	The Entrance	PHN108	Hunter New England and Central Coast	1	100
102021054	Toukley - Norah Head	PHN108	Hunter New England and Central Coast	1	100
102021055	Tuggerah - Kangy Angy	PHN108	Hunter New England and Central Coast	1	100
102021056	Warnervale - Wadalba	PHN108	Hunter New England and Central Coast	1	100
102021057	Wyong	PHN108	Hunter New England and Central Coast	1	100
103011058	Bathurst	PHN107	Western NSW	1	100
103011059	Bathurst - East	PHN107	Western NSW	1	100
103011060	Bathurst Region	PHN104	Nepean Blue Mountains	0.0021786	0.2178649
103011060	Bathurst Region	PHN107	Western NSW	0.9978214	99.7821351
103011061	Oberon	PHN107	Western NSW	1	100
103021062	Condobolin	PHN107	Western NSW	0.7320596	73.2059598
103021062	Condobolin	PHN110	Murrumbidgee	0.2679404	26.7940402
103021063	Cowra	PHN107	Western NSW	1	100
103021064	Cowra Region	PHN107	Western NSW	1	100
103021065	Forbes	PHN107	Western NSW	1	100
103021066	Grenfell	PHN107	Western NSW	1	100
103021067	Parkes (NSW)	PHN107	Western NSW	1	100
103021068	Parkes Region	PHN107	Western NSW	1	100
103021069	West Wyalong	PHN110	Murrumbidgee	1	100
103031070	Lithgow	PHN104	Nepean Blue Mountains	1	100
103031071	Lithgow Region	PHN104	Nepean Blue Mountains	0.9996375	99.9637462
103031071	Lithgow Region	PHN107	Western NSW	0.0003625	0.0362538
103031072	Mudgee	PHN107	Western NSW	1	100
103031073	Mudgee Region - East	PHN104	Nepean Blue Mountains	0.0029369	0.2936866
103031073	Mudgee Region - East	PHN107	Western NSW	0.9970631	99.7063134
103031074	Mudgee Region - West	PHN107	Western NSW	1	99.9999998
103031075	Wollangambe - Wollemi	PHN104	Nepean Blue Mountains	0.95	95
103031075	Wollangambe - Wollemi	PHN108	Hunter New England and Central Coast	0.05	5
103041076	Blayney	PHN107	Western NSW	1	100
103041077	Orange	PHN107	Western NSW	1	100
103041078	Orange - North	PHN107	Western NSW	1	100
103041079	Orange Region	PHN107	Western NSW	1	100
104011080	Grafton	PHN109	North Coast	1	100
104011081	Grafton Region	PHN109	North Coast	1	100
104011082	Maclean - Yamba - Iluka	PHN109	North Coast	1	100
104021083	Bellingen	PHN109	North Coast	1	100
104021084	Coffs Harbour - North	PHN109	North Coast	1	100
104021085	Coffs Harbour - South	PHN109	North Coast	1	100
104021086	Coramba - Nana Glen - Bucca	PHN109	North Coast	1	100
104021087	Dorrigo	PHN109	North Coast	1	100
104021088	Korora - Emerald Beach	PHN109	North Coast	1	100
104021089	Sawtell - Boambee	PHN109	North Coast	1	100
104021090	Urunga	PHN109	North Coast	1	100
104021091	Woolgoolga - Arrawarra	PHN109	North Coast	1	100
105011092	Bourke - Brewarrina	PHN107	Western NSW	1	100
105011093	Cobar	PHN107	Western NSW	1	100
